SupplierID,SupplierCode,SupplierName,ContactPerson,Email,Phone,Country,Address,QualityRating,IsActive,CreatedAt
1,SUPP-0001,Holt-Richardson Materials,Debra Miller,mmiller@gardner.com,754-947-9627,Japan,"640 Emily Lodge Suite 820, Port Cathy, WY 57933",4.3,1,2025-08-11 05:13:40
2,SUPP-0002,Martinez and Sons Materials,Holly Reyes,jacobserika@watson-hines.org,(485)965-4310,UK,"4739 Benson Overpass, North Derek, CA 59751",3.92,1,2024-07-09 21:22:49
3,SUPP-0003,Roach Group Materials,Rita Ponce DVM,jenna88@vance-york.com,(783)913-2370x589,Brazil,"114 Key Stravenue, Foxchester, GU 75854",4.39,0,2025-04-14 22:47:01
4,SUPP-0004,Martinez LLC Materials,Joanna Frazier,david89@saunders.biz,601.582.4225x35841,USA,"49818 Brittany Prairie Apt. 299, Meganshire, AZ 04219",4.91,1,2025-10-07 01:34:03
5,SUPP-0005,Williams Ltd Materials,Deborah Clark,bmontgomery@small-gardner.com,736.447.1027x6773,Germany,"562 Robertson Coves Suite 371, Shannonberg, CT 07133",3.86,0,2024-06-19 00:33:28
6,SUPP-0006,Dougherty-Lin Materials,Victor Barrera,sarah53@jimenez.info,247.601.6873x3950,Japan,"8016 Nicole Stream Suite 650, Williamsside, ID 48017",3.86,1,2025-08-20 04:48:39
7,SUPP-0007,"Roberts, Hughes and Cole Materials",Samantha Hanson,andersoncolin@norton-morgan.com,001-923-498-6800x02578,South Korea,"9526 Wheeler Parkways, Ericksonport, NJ 02681",4.95,0,2023-09-21 18:06:19
8,SUPP-0008,Rivera-Rodriguez Materials,Eric Roach,carlsonjoseph@patton.com,001-372-589-6230,Italy,"2636 Salas Street Apt. 283, Whitneyfort, NC 49892",4.46,1,2023-04-04 18:58:21
9,SUPP-0009,Frye-Stevens Materials,Kimberly Lowe,chelsea33@grant-walker.com,001-843-775-7584x41986,Brazil,"USNS Roberts, FPO AA 94104",3.72,1,2025-12-06 21:25:56
10,SUPP-0010,Reed Group Materials,Nicole Lewis,sarah42@gilbert.com,908.333.0165,Italy,"82677 Katelyn Heights, Justinton, PW 12226",4.33,0,2023-05-21 14:07:39
11,SUPP-0011,"Andrews, Nichols and Sharp Materials",Susan Thompson,sarahjohnson@french-lopez.com,9044991547,Brazil,"3152 Wong Stravenue Apt. 054, East Cheryl, SC 53649",3.72,1,2023-06-30 19:32:11
